"GEOID","NAME","variable","estimate","moe","Year"
"28","Mississippi","B01003_001",2988081,NA,2015
"29","Missouri","B01003_001",6045448,NA,2015
"30","Montana","B01003_001",1014699,NA,2015
"31","Nebraska","B01003_001",1869365,NA,2015
"32","Nevada","B01003_001",2798636,NA,2015
"33","New Hampshire","B01003_001",1324201,NA,2015
"34","New Jersey","B01003_001",8904413,NA,2015
"35","New Mexico","B01003_001",2084117,NA,2015
"36","New York","B01003_001",19673174,NA,2015
"37","North Carolina","B01003_001",9845333,NA,2015
"38","North Dakota","B01003_001",721640,NA,2015
"39","Ohio","B01003_001",11575977,NA,2015
"40","Oklahoma","B01003_001",3849733,NA,2015
"41","Oregon","B01003_001",3939233,NA,2015
"42","Pennsylvania","B01003_001",12779559,NA,2015
"44","Rhode Island","B01003_001",1053661,NA,2015
"45","South Carolina","B01003_001",4777576,NA,2015
"46","South Dakota","B01003_001",843190,NA,2015
"47","Tennessee","B01003_001",6499615,NA,2015
"48","Texas","B01003_001",26538614,NA,2015
"49","Utah","B01003_001",2903379,NA,2015
"50","Vermont","B01003_001",626604,NA,2015
"51","Virginia","B01003_001",8256630,NA,2015
"53","Washington","B01003_001",6985464,NA,2015
"54","West Virginia","B01003_001",1851420,NA,2015
"55","Wisconsin","B01003_001",5742117,NA,2015
"56","Wyoming","B01003_001",579679,NA,2015
"72","Puerto Rico","B01003_001",3583073,NA,2015
"01","Alabama","B01003_001",4841164,NA,2016
"02","Alaska","B01003_001",736855,NA,2016
"04","Arizona","B01003_001",6728577,NA,2016
"05","Arkansas","B01003_001",2968472,NA,2016
"06","California","B01003_001",38654206,NA,2016
